name,hash_name,wear,url,price_usd,quantity,scraped_at
AK-47 | Frontside Misty (Factory New),AK-47 | Frontside Misty (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Frontside%20Misty%20%28Factory%20New%29,178.25,45,2026-07-08T13:41:09.839911
AK-47 | Frontside Misty (Field-Tested),AK-47 | Frontside Misty (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Frontside%20Misty%20%28Field-Tested%29,22.28,460,2026-07-08T13:41:09.839998
AK-47 | Frontside Misty (Minimal Wear),AK-47 | Frontside Misty (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Frontside%20Misty%20%28Minimal%20Wear%29,40.51,199,2026-07-08T13:41:09.840085
AK-47 | Frontside Misty (Well-Worn),AK-47 | Frontside Misty (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Frontside%20Misty%20%28Well-Worn%29,20.75,108,2026-07-08T13:41:09.840172
AK-47 | Fuel Injector (Battle-Scarred),AK-47 | Fuel Injector (Battle-Scarred),Battle-Scarred,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fuel%20Injector%20%28Battle-Scarred%29,159.71,17,2026-07-08T13:41:09.840261
AK-47 | Fuel Injector (Factory New),AK-47 | Fuel Injector (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fuel%20Injector%20%28Factory%20New%29,790.02,16,2026-07-08T13:41:09.840350
AK-47 | Fuel Injector (Field-Tested),AK-47 | Fuel Injector (Field-Tested),Field-Tested,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fuel%20Injector%20%28Field-Tested%29,227.48,48,2026-07-08T13:41:09.840437
AK-47 | Fuel Injector (Minimal Wear),AK-47 | Fuel Injector (Minimal Wear),Minimal Wear,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fuel%20Injector%20%28Minimal%20Wear%29,299.99,43,2026-07-08T13:41:09.840539
AK-47 | Fuel Injector (Well-Worn),AK-47 | Fuel Injector (Well-Worn),Well-Worn,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Fuel%20Injector%20%28Well-Worn%29,165.23,32,2026-07-08T13:41:11.698331
AK-47 | Green Laminate (Factory New),AK-47 | Green Laminate (Factory New),Factory New,https://steamcommunity.com/market/listings/730/AK-47%20%7C%20Green%20Laminate%20%28Factory%20New%29,80.0,54,2026-07-08T13:41:11.698458
